control_id,risk_id,control_name,control_type,control_owner,control_frequency,effectiveness_score,control_status,description
CTRL-00411,RSK-00385,Compliance Control 411,Detective,Control Owner 09,Per Transaction,58.25,Weak,Management control designed to reduce transformation risk.
CTRL-00412,RSK-00387,Financial Control 412,Preventive,Control Owner 11,Daily,68.4,Effective,Management control designed to reduce transformation risk.
CTRL-00413,RSK-00389,People & Change Control 413,Corrective,Control Owner 05,Per Transaction,81.97,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00414,RSK-00389,People & Change Control 414,Detective,Control Owner 01,Daily,57.2,Effective,Management control designed to reduce transformation risk.
CTRL-00415,RSK-00390,Financial Control 415,Corrective,Control Owner 21,Quarterly,43.65,Weak,Management control designed to reduce transformation risk.
CTRL-00416,RSK-00392,Technology Control 416,Detective,Control Owner 30,Monthly,84.1,Weak,Management control designed to reduce transformation risk.
CTRL-00417,RSK-00393,Cybersecurity Control 417,Detective,Control Owner 07,Weekly,65.69,Weak,Management control designed to reduce transformation risk.
CTRL-00418,RSK-00393,Cybersecurity Control 418,Corrective,Control Owner 18,Daily,40.72,Effective,Management control designed to reduce transformation risk.
CTRL-00419,RSK-00394,Data Control 419,Detective,Control Owner 12,Quarterly,86.39,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00420,RSK-00394,Data Control 420,Preventive,Control Owner 25,Per Transaction,57.34,Effective,Management control designed to reduce transformation risk.
CTRL-00421,RSK-00395,Operational Control 421,Preventive,Control Owner 04,Quarterly,80.01,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00422,RSK-00399,People & Change Control 422,Preventive,Control Owner 23,Per Transaction,85.61,Effective,Management control designed to reduce transformation risk.
CTRL-00423,RSK-00401,Operational Control 423,Corrective,Control Owner 18,Per Transaction,85.52,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00424,RSK-00404,Vendor & Dependency Control 424,Preventive,Control Owner 20,Weekly,79.31,Effective,Management control designed to reduce transformation risk.
CTRL-00425,RSK-00404,Vendor & Dependency Control 425,Detective,Control Owner 26,Monthly,88.75,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00426,RSK-00406,Compliance Control 426,Corrective,Control Owner 10,Quarterly,65.78,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00427,RSK-00407,People & Change Control 427,Preventive,Control Owner 16,Quarterly,42.89,Weak,Management control designed to reduce transformation risk.
CTRL-00428,RSK-00410,Operational Control 428,Preventive,Control Owner 10,Per Transaction,79.62,Effective,Management control designed to reduce transformation risk.
CTRL-00429,RSK-00410,Operational Control 429,Corrective,Control Owner 25,Monthly,87.77,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00430,RSK-00411,Compliance Control 430,Detective,Control Owner 28,Daily,50.96,Effective,Management control designed to reduce transformation risk.
CTRL-00431,RSK-00411,Compliance Control 431,Preventive,Control Owner 05,Monthly,87.62,Weak,Management control designed to reduce transformation risk.
CTRL-00432,RSK-00412,Vendor & Dependency Control 432,Preventive,Control Owner 28,Monthly,91.9,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00433,RSK-00412,Vendor & Dependency Control 433,Preventive,Control Owner 12,Daily,89.41,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00434,RSK-00413,Technology Control 434,Preventive,Control Owner 27,Daily,81.2,Effective,Management control designed to reduce transformation risk.
CTRL-00435,RSK-00413,Technology Control 435,Corrective,Control Owner 29,Quarterly,41.9,Weak,Management control designed to reduce transformation risk.
CTRL-00436,RSK-00415,Cybersecurity Control 436,Corrective,Control Owner 12,Daily,32.39,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00437,RSK-00415,Cybersecurity Control 437,Corrective,Control Owner 10,Monthly,35.58,Effective,Management control designed to reduce transformation risk.
CTRL-00438,RSK-00416,Technology Control 438,Detective,Control Owner 01,Per Transaction,45.58,Effective,Management control designed to reduce transformation risk.
CTRL-00439,RSK-00416,Technology Control 439,Detective,Control Owner 23,Daily,89.21,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00440,RSK-00417,Financial Control 440,Corrective,Control Owner 11,Quarterly,56.86,Effective,Management control designed to reduce transformation risk.
CTRL-00441,RSK-00417,Financial Control 441,Detective,Control Owner 25,Quarterly,78.51,Weak,Management control designed to reduce transformation risk.
CTRL-00442,RSK-00418,Operational Control 442,Preventive,Control Owner 10,Daily,64.26,Effective,Management control designed to reduce transformation risk.
CTRL-00443,RSK-00418,Operational Control 443,Corrective,Control Owner 17,Daily,76.01,Effective,Management control designed to reduce transformation risk.
CTRL-00444,RSK-00419,Cybersecurity Control 444,Corrective,Control Owner 30,Per Transaction,94.71,Weak,Management control designed to reduce transformation risk.
CTRL-00445,RSK-00419,Cybersecurity Control 445,Detective,Control Owner 03,Monthly,45.83,Weak,Management control designed to reduce transformation risk.
CTRL-00446,RSK-00420,People & Change Control 446,Corrective,Control Owner 30,Weekly,82.77,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00447,RSK-00420,People & Change Control 447,Detective,Control Owner 04,Per Transaction,74.9,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00448,RSK-00423,Data Control 448,Detective,Control Owner 28,Weekly,63.76,Effective,Management control designed to reduce transformation risk.
CTRL-00449,RSK-00424,Cybersecurity Control 449,Corrective,Control Owner 19,Monthly,56.91,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00450,RSK-00425,Technology Control 450,Detective,Control Owner 22,Quarterly,63.07,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00451,RSK-00425,Technology Control 451,Corrective,Control Owner 11,Monthly,34.07,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00452,RSK-00426,People & Change Control 452,Preventive,Control Owner 16,Monthly,74.14,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00453,RSK-00426,People & Change Control 453,Preventive,Control Owner 10,Weekly,81.6,Effective,Management control designed to reduce transformation risk.
CTRL-00454,RSK-00429,Data Control 454,Preventive,Control Owner 26,Weekly,75.24,Effective,Management control designed to reduce transformation risk.
CTRL-00455,RSK-00430,People & Change Control 455,Detective,Control Owner 05,Weekly,53.8,Effective,Management control designed to reduce transformation risk.
CTRL-00456,RSK-00430,People & Change Control 456,Corrective,Control Owner 16,Monthly,64.15,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00457,RSK-00431,Vendor & Dependency Control 457,Preventive,Control Owner 11,Monthly,51.64,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00458,RSK-00431,Vendor & Dependency Control 458,Corrective,Control Owner 27,Quarterly,36.27,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00459,RSK-00432,Operational Control 459,Preventive,Control Owner 12,Quarterly,42.9,Effective,Management control designed to reduce transformation risk.
CTRL-00460,RSK-00434,Cybersecurity Control 460,Detective,Control Owner 04,Quarterly,60.05,Weak,Management control designed to reduce transformation risk.
CTRL-00461,RSK-00435,Technology Control 461,Preventive,Control Owner 29,Monthly,36.51,Weak,Management control designed to reduce transformation risk.
CTRL-00462,RSK-00435,Technology Control 462,Preventive,Control Owner 01,Quarterly,86.13,Effective,Management control designed to reduce transformation risk.
CTRL-00463,RSK-00437,Technology Control 463,Corrective,Control Owner 20,Weekly,67.79,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00464,RSK-00438,Data Control 464,Preventive,Control Owner 18,Per Transaction,69.11,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00465,RSK-00438,Data Control 465,Corrective,Control Owner 21,Weekly,77.74,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00466,RSK-00440,Operational Control 466,Corrective,Control Owner 07,Per Transaction,38.34,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00467,RSK-00441,Compliance Control 467,Preventive,Control Owner 15,Per Transaction,37.76,Effective,Management control designed to reduce transformation risk.
CTRL-00468,RSK-00443,Compliance Control 468,Detective,Control Owner 06,Per Transaction,69.48,Effective,Management control designed to reduce transformation risk.
CTRL-00469,RSK-00444,Data Control 469,Preventive,Control Owner 07,Weekly,50.25,Weak,Management control designed to reduce transformation risk.
CTRL-00470,RSK-00444,Data Control 470,Corrective,Control Owner 12,Per Transaction,62.01,Effective,Management control designed to reduce transformation risk.
CTRL-00471,RSK-00445,Cybersecurity Control 471,Preventive,Control Owner 29,Per Transaction,84.78,Weak,Management control designed to reduce transformation risk.
CTRL-00472,RSK-00446,Technology Control 472,Detective,Control Owner 17,Quarterly,63.65,Effective,Management control designed to reduce transformation risk.
CTRL-00473,RSK-00446,Technology Control 473,Preventive,Control Owner 04,Per Transaction,80.51,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00474,RSK-00447,Financial Control 474,Preventive,Control Owner 25,Weekly,33.97,Effective,Management control designed to reduce transformation risk.
CTRL-00475,RSK-00447,Financial Control 475,Preventive,Control Owner 25,Weekly,81.86,Weak,Management control designed to reduce transformation risk.
CTRL-00476,RSK-00448,Vendor & Dependency Control 476,Detective,Control Owner 18,Daily,70.53,Effective,Management control designed to reduce transformation risk.
CTRL-00477,RSK-00449,Cybersecurity Control 477,Corrective,Control Owner 17,Weekly,36.81,Effective,Management control designed to reduce transformation risk.
CTRL-00478,RSK-00449,Cybersecurity Control 478,Detective,Control Owner 18,Monthly,47.17,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00479,RSK-00450,Operational Control 479,Preventive,Control Owner 09,Weekly,86.47,Effective,Management control designed to reduce transformation risk.
CTRL-00480,RSK-00450,Operational Control 480,Detective,Control Owner 25,Daily,78.55,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00481,RSK-00451,Financial Control 481,Preventive,Control Owner 22,Quarterly,83.26,Weak,Management control designed to reduce transformation risk.
CTRL-00482,RSK-00455,Compliance Control 482,Corrective,Control Owner 10,Weekly,46.11,Effective,Management control designed to reduce transformation risk.
CTRL-00483,RSK-00455,Compliance Control 483,Preventive,Control Owner 01,Daily,65.92,Effective,Management control designed to reduce transformation risk.
CTRL-00484,RSK-00456,Vendor & Dependency Control 484,Detective,Control Owner 07,Monthly,84.34,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00485,RSK-00457,Operational Control 485,Preventive,Control Owner 27,Per Transaction,83.05,Effective,Management control designed to reduce transformation risk.
CTRL-00486,RSK-00457,Operational Control 486,Detective,Control Owner 21,Weekly,33.71,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00487,RSK-00458,Technology Control 487,Preventive,Control Owner 14,Weekly,52.56,Effective,Management control designed to reduce transformation risk.
CTRL-00488,RSK-00459,Data Control 488,Preventive,Control Owner 20,Quarterly,57.96,Effective,Management control designed to reduce transformation risk.
CTRL-00489,RSK-00460,Financial Control 489,Preventive,Control Owner 10,Quarterly,73.42,Effective,Management control designed to reduce transformation risk.
CTRL-00490,RSK-00462,Compliance Control 490,Detective,Control Owner 30,Monthly,50.18,Effective,Management control designed to reduce transformation risk.
CTRL-00491,RSK-00462,Compliance Control 491,Preventive,Control Owner 09,Daily,80.23,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00492,RSK-00463,Data Control 492,Detective,Control Owner 02,Monthly,55.06,Weak,Management control designed to reduce transformation risk.
CTRL-00493,RSK-00464,Operational Control 493,Corrective,Control Owner 07,Monthly,92.98,Effective,Management control designed to reduce transformation risk.
CTRL-00494,RSK-00465,Cybersecurity Control 494,Preventive,Control Owner 20,Quarterly,40.42,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00495,RSK-00465,Cybersecurity Control 495,Detective,Control Owner 19,Daily,83.78,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00496,RSK-00466,Technology Control 496,Detective,Control Owner 13,Daily,32.78,Weak,Management control designed to reduce transformation risk.
CTRL-00497,RSK-00466,Technology Control 497,Detective,Control Owner 04,Weekly,61.41,Weak,Management control designed to reduce transformation risk.
CTRL-00498,RSK-00467,Financial Control 498,Corrective,Control Owner 18,Per Transaction,89.02,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00499,RSK-00467,Financial Control 499,Detective,Control Owner 02,Quarterly,83.04,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00500,RSK-00468,Vendor & Dependency Control 500,Detective,Control Owner 18,Weekly,37.73,Effective,Management control designed to reduce transformation risk.
CTRL-00501,RSK-00469,People & Change Control 501,Preventive,Control Owner 19,Monthly,62.41,Weak,Management control designed to reduce transformation risk.
CTRL-00502,RSK-00470,Compliance Control 502,Corrective,Control Owner 12,Monthly,85.72,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00503,RSK-00471,Financial Control 503,Preventive,Control Owner 17,Per Transaction,70.7,Effective,Management control designed to reduce transformation risk.
CTRL-00504,RSK-00471,Financial Control 504,Detective,Control Owner 25,Weekly,40.17,Weak,Management control designed to reduce transformation risk.
CTRL-00505,RSK-00472,People & Change Control 505,Detective,Control Owner 27,Monthly,93.63,Weak,Management control designed to reduce transformation risk.
CTRL-00506,RSK-00472,People & Change Control 506,Preventive,Control Owner 04,Quarterly,84.51,Effective,Management control designed to reduce transformation risk.
CTRL-00507,RSK-00473,Operational Control 507,Preventive,Control Owner 07,Per Transaction,90.05,Effective,Management control designed to reduce transformation risk.
CTRL-00508,RSK-00473,Operational Control 508,Preventive,Control Owner 04,Daily,59.64,Weak,Management control designed to reduce transformation risk.
CTRL-00509,RSK-00475,Cybersecurity Control 509,Corrective,Control Owner 06,Daily,89.3,Effective,Management control designed to reduce transformation risk.
CTRL-00510,RSK-00476,Technology Control 510,Detective,Control Owner 24,Per Transaction,59.47,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00511,RSK-00476,Technology Control 511,Corrective,Control Owner 16,Weekly,94.78,Effective,Management control designed to reduce transformation risk.
CTRL-00512,RSK-00477,Data Control 512,Preventive,Control Owner 08,Weekly,36.25,Effective,Management control designed to reduce transformation risk.
CTRL-00513,RSK-00478,Vendor & Dependency Control 513,Preventive,Control Owner 26,Monthly,65.43,Effective,Management control designed to reduce transformation risk.
CTRL-00514,RSK-00480,Financial Control 514,Preventive,Control Owner 20,Weekly,38.72,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00515,RSK-00482,Technology Control 515,Corrective,Control Owner 13,Daily,71.28,Effective,Management control designed to reduce transformation risk.
CTRL-00516,RSK-00482,Technology Control 516,Preventive,Control Owner 29,Quarterly,51.61,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00517,RSK-00483,Operational Control 517,Preventive,Control Owner 18,Per Transaction,48.77,Weak,Management control designed to reduce transformation risk.
CTRL-00518,RSK-00483,Operational Control 518,Detective,Control Owner 01,Per Transaction,33.27,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00519,RSK-00486,Cybersecurity Control 519,Detective,Control Owner 11,Quarterly,70.68,Weak,Management control designed to reduce transformation risk.
CTRL-00520,RSK-00493,Technology Control 520,Corrective,Control Owner 03,Monthly,35.41,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00521,RSK-00494,Operational Control 521,Corrective,Control Owner 11,Per Transaction,45.7,Effective,Management control designed to reduce transformation risk.
CTRL-00522,RSK-00494,Operational Control 522,Corrective,Control Owner 02,Monthly,37.57,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00523,RSK-00496,Compliance Control 523,Detective,Control Owner 02,Per Transaction,54.35,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00524,RSK-00496,Compliance Control 524,Detective,Control Owner 17,Weekly,39.07,Effective,Management control designed to reduce transformation risk.
CTRL-00525,RSK-00497,Operational Control 525,Corrective,Control Owner 22,Weekly,84.29,Weak,Management control designed to reduce transformation risk.
CTRL-00526,RSK-00499,Cybersecurity Control 526,Preventive,Control Owner 12,Quarterly,38.4,Effective,Management control designed to reduce transformation risk.
CTRL-00527,RSK-00499,Cybersecurity Control 527,Detective,Control Owner 15,Daily,54.87,Weak,Management control designed to reduce transformation risk.
CTRL-00528,RSK-00500,Technology Control 528,Detective,Control Owner 15,Daily,79.57,Effective,Management control designed to reduce transformation risk.
CTRL-00529,RSK-00501,Data Control 529,Corrective,Control Owner 07,Per Transaction,30.03,Effective,Management control designed to reduce transformation risk.
CTRL-00530,RSK-00503,Vendor & Dependency Control 530,Corrective,Control Owner 02,Daily,52.21,Effective,Management control designed to reduce transformation risk.
CTRL-00531,RSK-00503,Vendor & Dependency Control 531,Preventive,Control Owner 29,Weekly,30.35,Effective,Management control designed to reduce transformation risk.
CTRL-00532,RSK-00507,Compliance Control 532,Preventive,Control Owner 08,Daily,77.13,Effective,Management control designed to reduce transformation risk.
CTRL-00533,RSK-00510,Data Control 533,Corrective,Control Owner 06,Per Transaction,42.38,Effective,Management control designed to reduce transformation risk.
CTRL-00534,RSK-00510,Data Control 534,Detective,Control Owner 24,Per Transaction,40.19,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00535,RSK-00512,Technology Control 535,Detective,Control Owner 24,Monthly,72.26,Weak,Management control designed to reduce transformation risk.
CTRL-00536,RSK-00514,Data Control 536,Corrective,Control Owner 09,Monthly,82.31,Effective,Management control designed to reduce transformation risk.
CTRL-00537,RSK-00514,Data Control 537,Corrective,Control Owner 13,Daily,48.4,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00538,RSK-00516,People & Change Control 538,Preventive,Control Owner 10,Quarterly,30.26,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00539,RSK-00518,Vendor & Dependency Control 539,Preventive,Control Owner 18,Daily,52.17,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00540,RSK-00519,Cybersecurity Control 540,Corrective,Control Owner 14,Quarterly,69.16,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00541,RSK-00519,Cybersecurity Control 541,Detective,Control Owner 12,Weekly,93.76,Effective,Management control designed to reduce transformation risk.
CTRL-00542,RSK-00520,Cybersecurity Control 542,Detective,Control Owner 07,Quarterly,57.66,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00543,RSK-00520,Cybersecurity Control 543,Corrective,Control Owner 12,Quarterly,53.35,Effective,Management control designed to reduce transformation risk.
CTRL-00544,RSK-00521,Vendor & Dependency Control 544,Detective,Control Owner 25,Monthly,64.31,Effective,Management control designed to reduce transformation risk.
CTRL-00545,RSK-00522,Financial Control 545,Preventive,Control Owner 22,Per Transaction,77.32,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00546,RSK-00524,Operational Control 546,Detective,Control Owner 07,Per Transaction,84.59,Effective,Management control designed to reduce transformation risk.
CTRL-00547,RSK-00524,Operational Control 547,Corrective,Control Owner 02,Per Transaction,61.59,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00548,RSK-00525,Technology Control 548,Corrective,Control Owner 14,Quarterly,39.67,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00549,RSK-00526,Compliance Control 549,Preventive,Control Owner 17,Weekly,62.39,Effective,Management control designed to reduce transformation risk.
CTRL-00550,RSK-00526,Compliance Control 550,Preventive,Control Owner 12,Daily,74.03,Effective,Management control designed to reduce transformation risk.
CTRL-00551,RSK-00527,Operational Control 551,Preventive,Control Owner 16,Per Transaction,84.99,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00552,RSK-00527,Operational Control 552,Detective,Control Owner 18,Quarterly,54.83,Effective,Management control designed to reduce transformation risk.
CTRL-00553,RSK-00529,Cybersecurity Control 553,Detective,Control Owner 12,Per Transaction,75.22,Effective,Management control designed to reduce transformation risk.
CTRL-00554,RSK-00530,Data Control 554,Detective,Control Owner 09,Weekly,44.04,Effective,Management control designed to reduce transformation risk.
CTRL-00555,RSK-00531,Financial Control 555,Detective,Control Owner 26,Weekly,37.37,Effective,Management control designed to reduce transformation risk.
CTRL-00556,RSK-00533,Operational Control 556,Detective,Control Owner 28,Quarterly,58.19,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00557,RSK-00534,Cybersecurity Control 557,Detective,Control Owner 11,Per Transaction,44.67,Effective,Management control designed to reduce transformation risk.
CTRL-00558,RSK-00536,Data Control 558,Corrective,Control Owner 15,Weekly,84.48,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00559,RSK-00536,Data Control 559,Detective,Control Owner 02,Per Transaction,41.52,Effective,Management control designed to reduce transformation risk.
CTRL-00560,RSK-00537,Compliance Control 560,Preventive,Control Owner 29,Monthly,35.93,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00561,RSK-00537,Compliance Control 561,Corrective,Control Owner 06,Quarterly,54.61,Effective,Management control designed to reduce transformation risk.
CTRL-00562,RSK-00538,Vendor & Dependency Control 562,Detective,Control Owner 09,Quarterly,53.21,Weak,Management control designed to reduce transformation risk.
CTRL-00563,RSK-00539,People & Change Control 563,Detective,Control Owner 29,Weekly,37.2,Effective,Management control designed to reduce transformation risk.
CTRL-00564,RSK-00539,People & Change Control 564,Detective,Control Owner 05,Monthly,87.52,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00565,RSK-00541,Compliance Control 565,Detective,Control Owner 06,Per Transaction,84.49,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00566,RSK-00541,Compliance Control 566,Preventive,Control Owner 01,Quarterly,32.43,Effective,Management control designed to reduce transformation risk.
CTRL-00567,RSK-00542,Vendor & Dependency Control 567,Corrective,Control Owner 01,Per Transaction,68.59,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00568,RSK-00544,Cybersecurity Control 568,Preventive,Control Owner 06,Monthly,72.67,Effective,Management control designed to reduce transformation risk.
CTRL-00569,RSK-00545,People & Change Control 569,Corrective,Control Owner 23,Daily,47.45,Effective,Management control designed to reduce transformation risk.
CTRL-00570,RSK-00546,Data Control 570,Corrective,Control Owner 24,Weekly,66.45,Weak,Management control designed to reduce transformation risk.
CTRL-00571,RSK-00546,Data Control 571,Detective,Control Owner 27,Weekly,51.74,Weak,Management control designed to reduce transformation risk.
CTRL-00572,RSK-00547,Financial Control 572,Corrective,Control Owner 30,Monthly,89.01,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00573,RSK-00547,Financial Control 573,Preventive,Control Owner 29,Monthly,82.29,Effective,Management control designed to reduce transformation risk.
CTRL-00574,RSK-00548,Operational Control 574,Corrective,Control Owner 29,Weekly,43.29,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00575,RSK-00549,People & Change Control 575,Preventive,Control Owner 26,Per Transaction,76.96,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00576,RSK-00550,Data Control 576,Corrective,Control Owner 02,Monthly,52.71,Effective,Management control designed to reduce transformation risk.
CTRL-00577,RSK-00552,Vendor & Dependency Control 577,Corrective,Control Owner 05,Per Transaction,91.88,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00578,RSK-00552,Vendor & Dependency Control 578,Corrective,Control Owner 11,Monthly,64.55,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00579,RSK-00553,Operational Control 579,Detective,Control Owner 08,Daily,45.01,Weak,Management control designed to reduce transformation risk.
CTRL-00580,RSK-00556,Technology Control 580,Detective,Control Owner 26,Quarterly,41.98,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00581,RSK-00558,Cybersecurity Control 581,Detective,Control Owner 14,Per Transaction,46.24,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00582,RSK-00559,Data Control 582,Corrective,Control Owner 23,Quarterly,60.52,Effective,Management control designed to reduce transformation risk.
CTRL-00583,RSK-00559,Data Control 583,Detective,Control Owner 14,Per Transaction,51.9,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00584,RSK-00560,People & Change Control 584,Corrective,Control Owner 03,Quarterly,88.86,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00585,RSK-00561,Vendor & Dependency Control 585,Preventive,Control Owner 30,Quarterly,71.47,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00586,RSK-00562,Cybersecurity Control 586,Detective,Control Owner 28,Monthly,74.77,Weak,Management control designed to reduce transformation risk.
CTRL-00587,RSK-00564,Data Control 587,Corrective,Control Owner 09,Quarterly,58.16,Effective,Management control designed to reduce transformation risk.
CTRL-00588,RSK-00564,Data Control 588,Detective,Control Owner 04,Weekly,91.28,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00589,RSK-00565,Technology Control 589,Detective,Control Owner 28,Weekly,71.56,Effective,Management control designed to reduce transformation risk.
CTRL-00590,RSK-00566,People & Change Control 590,Corrective,Control Owner 19,Weekly,53.34,Effective,Management control designed to reduce transformation risk.
CTRL-00591,RSK-00566,People & Change Control 591,Preventive,Control Owner 22,Weekly,65.97,Effective,Management control designed to reduce transformation risk.
CTRL-00592,RSK-00567,Compliance Control 592,Preventive,Control Owner 22,Quarterly,93.27,Effective,Management control designed to reduce transformation risk.
CTRL-00593,RSK-00567,Compliance Control 593,Preventive,Control Owner 21,Quarterly,49.25,Effective,Management control designed to reduce transformation risk.
CTRL-00594,RSK-00568,Technology Control 594,Detective,Control Owner 05,Quarterly,75.87,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00595,RSK-00568,Technology Control 595,Detective,Control Owner 06,Per Transaction,78.95,Effective,Management control designed to reduce transformation risk.
CTRL-00596,RSK-00569,Cybersecurity Control 596,Corrective,Control Owner 30,Daily,38.34,Effective,Management control designed to reduce transformation risk.
CTRL-00597,RSK-00569,Cybersecurity Control 597,Preventive,Control Owner 30,Daily,70.69,Effective,Management control designed to reduce transformation risk.
CTRL-00598,RSK-00570,Operational Control 598,Detective,Control Owner 14,Monthly,79.33,Effective,Management control designed to reduce transformation risk.
CTRL-00599,RSK-00572,Data Control 599,Corrective,Control Owner 05,Daily,82.89,Effective,Management control designed to reduce transformation risk.
CTRL-00600,RSK-00575,Data Control 600,Preventive,Control Owner 22,Monthly,42.65,Effective,Management control designed to reduce transformation risk.
CTRL-00601,RSK-00576,People & Change Control 601,Preventive,Control Owner 07,Weekly,72.19,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00602,RSK-00576,People & Change Control 602,Preventive,Control Owner 15,Quarterly,58.21,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00603,RSK-00577,Cybersecurity Control 603,Preventive,Control Owner 10,Daily,59.24,Weak,Management control designed to reduce transformation risk.
CTRL-00604,RSK-00577,Cybersecurity Control 604,Preventive,Control Owner 11,Monthly,74.91,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00605,RSK-00578,Vendor & Dependency Control 605,Preventive,Control Owner 03,Quarterly,80.89,Effective,Management control designed to reduce transformation risk.
CTRL-00606,RSK-00581,Financial Control 606,Corrective,Control Owner 05,Quarterly,60.34,Effective,Management control designed to reduce transformation risk.
CTRL-00607,RSK-00582,Compliance Control 607,Detective,Control Owner 28,Weekly,37.09,Effective,Management control designed to reduce transformation risk.
CTRL-00608,RSK-00583,Operational Control 608,Corrective,Control Owner 10,Quarterly,62.95,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00609,RSK-00584,Vendor & Dependency Control 609,Corrective,Control Owner 28,Monthly,62.17,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00610,RSK-00584,Vendor & Dependency Control 610,Corrective,Control Owner 01,Per Transaction,44.66,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00611,RSK-00585,Financial Control 611,Detective,Control Owner 11,Monthly,74.44,Effective,Management control designed to reduce transformation risk.
CTRL-00612,RSK-00588,Cybersecurity Control 612,Detective,Control Owner 08,Monthly,47.78,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00613,RSK-00588,Cybersecurity Control 613,Preventive,Control Owner 22,Quarterly,60.68,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00614,RSK-00589,Compliance Control 614,Preventive,Control Owner 23,Daily,44.62,Effective,Management control designed to reduce transformation risk.
CTRL-00615,RSK-00590,Data Control 615,Detective,Control Owner 26,Daily,66.14,Needs Improvement,Management control designed to reduce transformation risk.
